Profession,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
IT рекрутер,1,3,2,1,4,1,2,3,3,3,3,4
Golang разработчик,0,0,0,0,0,0,0,0,0,0,0,0
Full-stack разработчик,1,1,1,1,0,0,1,1,1,1,1,1
E-mail маркетолог,0,0,0,0,0,0,0,0,0,0,0,0
Digital Marketing Manager,0,0,1,0,0,0,0,1,0,0,1,0
Business Analyst,0,0,0,0,0,0,0,0,0,0,0,0
Backend-разработчик,4,5,3,5,3,2,5,6,5,4,5,6
3D-дизайнер,0,0,2,0,0,0,0,0,0,0,2,0
Веб-аналитик,0,0,0,0,0,1,0,0,0,0,0,0
Видеомонтажер,0,0,0,0,0,0,0,0,1,1,0,1
Видеооператор,0,0,2,0,1,0,0,0,0,0,2,0
Комьюнити-менеджер,0,0,1,0,0,0,0,1,0,0,1,0
Преподаватель информатики,0,0,0,1,0,0,1,0,1,1,1,1
Оператор связи,0,0,0,0,0,0,0,0,0,0,0,0
Моушн-дизайнер,0,0,0,0,0,0,0,0,0,0,0,0
Младший аналитик,1,1,1,1,0,0,2,1,2,1,2,2
Менеджер по продажам IT услуг,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер интернет проектов,1,0,0,1,0,0,0,0,0,0,0,0
Консультант SAP,0,0,0,0,0,0,0,0,0,0,0,0
2D-художник,0,0,0,0,0,0,0,0,0,0,0,0
Дизайнер презентаций,0,0,0,0,0,0,0,0,0,0,0,0
Инженер-программист микроконтроллеров,0,0,1,0,1,0,0,0,1,0,1,1
Инженер технического отдела,0,0,0,0,0,0,0,0,0,0,0,0
Инженер АСУТП,0,0,0,0,0,0,0,0,0,0,0,0
Инженер АСУ,0,0,0,0,0,0,0,0,0,0,0,0
Заместитель технического директора,0,0,0,0,0,0,0,0,0,0,0,0
Дизайнер-проектировщик,1,1,0,1,1,0,1,1,1,1,1,1
Дизайнер-визуализатор,0,0,2,1,0,0,1,0,1,1,3,1
Художник-дизайнер,0,0,1,0,0,0,0,1,1,0,1,1
